AQS_Site_ID,COUNTYNS,pct_below_median
530330089,01531933,0.22252747252747251
060374002,00277283,0.22527472527472528
060610003,00277295,0.22527472527472528
081010015,00198166,0.22527472527472528
250230005,00606938,0.22527472527472528
280490020,00695748,0.22527472527472528
390490038,01074037,0.22527472527472528
484530021,01384012,0.22527472527472528
510030001,01675170,0.22527472527472528
540490006,01718173,0.22527472527472528
390170019,01074021,0.22802197802197802
540110007,01550012,0.22802197802197802
300290049,01719611,0.22865013774104684
130511002,01694477,0.23076923076923078
171193007,00424258,0.23076923076923078
211111041,00516902,0.23076923076923078
250036001,00606928,0.23076923076923078
460130003,01265785,0.23076923076923078
060990006,00277314,0.23351648351648352
110010041,01702382,0.23351648351648352
110010051,01702382,0.23351648351648352
340070002,00882273,0.23351648351648352
131350002,01688166,0.23626373626373626
421310010,01209192,0.23626373626373626
050070003,00069896,0.23901098901098902
290210005,00758465,0.23901098901098902
390490081,01074037,0.23901098901098902
401090035,01101842,0.23901098901098902
180970084,00450371,0.24175824175824176
350011013,01702363,0.24175824175824176
371310003,01008575,0.24175824175824176
090010010,00212794,0.2445054945054945
390350038,01074030,0.2445054945054945
410399004,01135855,0.2445054945054945
450450016,01245489,0.2445054945054945
120010023,00308548,0.24725274725274726
220512001,00558027,0.24725274725274726
530630021,01529225,0.24725274725274726
530730019,01529224,0.24725274725274726
560390009,01605083,0.24725274725274726
060792004,00277304,0.25
191930021,00465285,0.25
250030008,00606928,0.25
270072304,00659449,0.25
390170016,01074021,0.25
410250003,01135852,0.25
010731010,00161562,0.25274725274725274
270532006,00659472,0.25274725274725274
410130100,01155128,0.25274725274725274
530332004,01531933,0.25274725274725274
172010118,01785216,0.2554945054945055
250092006,00606931,0.2554945054945055
300750001,01719584,0.2554945054945055
530650005,01531930,0.2554945054945055
060190011,00277274,0.25824175824175827
270530962,00659472,0.25824175824175827
560010006,01605066,0.25824175824175827
390810017,01074053,0.260989010989011
410510080,01135861,0.260989010989011
261250001,01623005,0.26373626373626374
271377554,00662850,0.26373626373626374
300930005,01719575,0.2644628099173554
051191008,00069177,0.2664835164835165
060870007,00277308,0.2664835164835165
100051002,00217269,0.2664835164835165
280470008,00695747,0.2664835164835165
421330008,01209193,0.2664835164835165
470654002,01639749,0.2664835164835165
510360002,01480109,0.2664835164835165
540610003,01550037,0.2664835164835165
060470003,00277288,0.2692307692307692
230010011,00581286,0.2692307692307692
420210011,01213662,0.2692307692307692
481351014,01383853,0.2692307692307692
560370007,01609192,0.2692307692307692
371190045,01008570,0.27197802197802196
371830014,01008592,0.27197802197802196
421255001,01209190,0.27197802197802196
061110007,00277320,0.27472527472527475
171132003,01784833,0.27472527472527475
330090010,00873178,0.27472527472527475
360010005,00974099,0.27472527472527475
490352005,01448031,0.27472527472527475
560131003,01605072,0.27472527472527475
061072002,00277318,0.2774725274725275
181630016,00450396,0.2774725274725275
410292129,01135853,0.2774725274725275
481130050,01383842,0.2774725274725275
490210005,01448025,0.2774725274725275
130630091,01672399,0.2802197802197802
191110008,00465244,0.2802197802197802
261630033,01623022,0.2802197802197802
280350004,00695742,0.2802197802197802
550250047,01581072,0.2802197802197802
060374004,00277283,0.28296703296703296
171192009,00424258,0.28296703296703296
180890034,00450495,0.28296703296703296
390350060,01074030,0.28296703296703296
060650500,00277297,0.2857142857142857
320030540,00863600,0.2857142857142857
391510020,01065576,0.2857142857142857
401090097,01101842,0.2857142857142857
170190006,00424211,0.28846153846153844
484790313,01384025,0.28846153846153844
060710306,00277300,0.29120879120879123
090090027,00212798,0.29120879120879123
133030001,00348428,0.29120879120879123
220470005,00558582,0.29120879120879123
280490021,00695748,0.29120879120879123
400310651,01101803,0.29120879120879123
480371031,01383804,0.29120879120879123
060231004,01681908,0.29395604395604397
170313103,01784766,0.29395604395604397
230172011,00581294,0.29395604395604397
320030561,00863600,0.29395604395604397
511611004,01480165,0.29395604395604397
170316005,01784766,0.2967032967032967
220730004,00558114,0.2967032967032967
230190017,00581295,0.2967032967032967
040139812,00037026,0.29945054945054944
060631010,00277296,0.29945054945054944
170310119,01784766,0.29945054945054944
230031008,00581287,0.29945054945054944
250051004,00606929,0.29945054945054944
360810125,00974139,0.29945054945054944
420030064,01213657,0.29945054945054944
550630012,01581091,0.29945054945054944
550870009,01581104,0.29945054945054944
551330027,01581126,0.29945054945054944
560250001,01605077,0.29945054945054944
560290003,01605079,0.30303030303030304
201330003,00485030,0.30494505494505497
210190017,00516856,0.30494505494505497
390951003,01074060,0.30494505494505497
540030003,01550008,0.30494505494505497
010331002,00161542,0.3076923076923077
061112002,00277320,0.3076923076923077
080450019,00198138,0.3076923076923077
090031003,00212338,0.3076923076923077
221090001,00559517,0.3076923076923077
420710012,01209181,0.3076923076923077
180372001,00451675,0.31043956043956045
211110051,00516902,0.31043956043956045
340170008,00882278,0.3131868131868132
060772010,00277303,0.3159340659340659
120115005,00295753,0.3159340659340659
211451024,00516925,0.3159340659340659
360050110,00974101,0.3159340659340659
540690010,01717163,0.3159340659340659
010491003,00161550,0.31868131868131866
130590002,01672699,0.31868131868131866
290950042,00758502,0.31868131868131866
490130002,01448021,0.31868131868131866
530110024,01531820,0.31868131868131866
310790004,00835861,0.32142857142857145
490570002,01448042,0.32142857142857145
410330114,01155133,0.3241758241758242
060250005,00277277,0.3269230769230769
180970081,00450371,0.3269230769230769
051190007,00069177,0.32967032967032966
171613002,00424282,0.32967032967032966
